MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009110024030,13.16,0.05,311.04056,-10.72360,53553.32047,0
1009110024030,13.16,0.05,311.04058,-10.72363,53553.32754,0
1009110024030,13.15,0.05,311.04056,-10.72366,53553.33460,0
1009110024030,13.16,0.05,311.04057,-10.72363,53553.34167,0
1009110024030,13.20,0.05,311.04056,-10.72361,53563.35081,0
1009110024030,13.21,0.05,311.04058,-10.72361,53563.35733,0
1009110024030,13.21,0.05,311.04058,-10.72361,53563.36389,0
1009110024030,13.20,0.05,311.04056,-10.72360,53563.37043,0
1009110024030,13.15,0.05,311.04057,-10.72361,53525.39994,0
1009110024030,13.15,0.05,311.04058,-10.72361,53525.40880,0
1009110024030,13.15,0.05,311.04057,-10.72359,53525.41761,0
1009110024030,13.14,0.05,311.04058,-10.72362,53525.42647,0
1009110024030,13.15,0.05,311.04057,-10.72360,53532.35725,0
1009110024030,13.15,0.05,311.04057,-10.72360,53532.36575,0
1009110024030,13.15,0.05,311.04057,-10.72359,53532.37334,0
1009110024030,13.15,0.05,311.04059,-10.72356,53532.38092,0
1009110024030,13.25,0.05,311.04058,-10.72362,53695.06412,0
1009110024030,13.27,0.05,311.04056,-10.72360,53695.06940,0
1009110024030,13.28,0.05,311.04057,-10.72363,53695.07469,0
1009110024030,13.26,0.05,311.04059,-10.72363,53695.07999,0
1009110024030,13.30,0.05,311.04055,-10.72358,53704.07925,0
1009110024030,13.27,0.05,311.04059,-10.72366,53704.08384,0
1009110024030,13.30,0.05,311.04057,-10.72359,53704.08816,0
1009110024030,13.29,0.05,311.04060,-10.72360,53704.09266,0
1009110024030,13.22,0.05,311.04060,-10.72359,53646.17651,0
1009110024030,13.22,0.05,311.04060,-10.72360,53646.18406,0
1009110024030,13.21,0.05,311.04058,-10.72361,53646.19159,0
1009110024030,13.14,0.05,311.04058,-10.72358,53646.19915,0
1009110024030,13.18,0.05,311.04061,-10.72357,53637.14463,0
1009110024030,13.22,0.05,311.04059,-10.72361,53637.15105,0
1009110024030,13.19,0.05,311.04057,-10.72359,53637.15750,0
1009110024030,13.28,0.05,311.04060,-10.72357,53637.16394,0
1009110024030,13.15,0.05,311.04054,-10.72358,53850.46303,0
1009110024030,13.14,0.05,311.04057,-10.72359,53850.46686,0
1009110024030,13.14,0.05,311.04055,-10.72360,53850.47070,0
1009110024030,13.15,0.05,311.04058,-10.72362,53850.47450,0
1009110024030,13.23,0.05,311.04057,-10.72361,53976.19550,0
1009110024030,13.23,0.05,311.04057,-10.72359,53976.20032,0
1009110024030,13.23,0.05,311.04057,-10.72362,53976.20516,0
1009110024030,13.22,0.05,311.04058,-10.72362,53976.21000,0
1009110024030,13.15,0.05,311.04056,-10.72357,53917.31861,0
